"objid","poi_id","kategorie","quartier","strasse","baumgattunglat","baumartlat","baumnamelat","baumnamedeu","baumnummer","status","baumtyp","baumtyptext","pflanzjahr","genauigkeit","kronendurchmesser","geometry"
"0","SW-607","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-607","Strassenbaum","0","nicht zugeordnet","","Eingemessen","14","POINT (2686027.5 1251531.4)"
"3","SW-612","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-612","Strassenbaum","0","nicht zugeordnet","","Eingemessen","12","POINT (2685980.2 1251548)"
"6","SW-613","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-613","Strassenbaum","0","nicht zugeordnet","","Eingemessen","16","POINT (2685970.8 1251551.4)"
"9","SW-614","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr. 367","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-614","Strassenbaum","0","nicht zugeordnet","2003","Eingemessen","6","POINT (2685961.5 1251554.8)"
"12","SW-615","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-615","Strassenbaum","0","nicht zugeordnet","","Eingemessen","16","POINT (2685952 1251558.2)"
"15","SW-616","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-616","Strassenbaum","0","nicht zugeordnet","","Eingemessen","12","POINT (2685942.8 1251561.6)"
"18","SW-620","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-620","Strassenbaum","0","nicht zugeordnet","","Eingemessen","15","POINT (2685905 1251574.8)"
"21","SW-621","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-621","Strassenbaum","0","nicht zugeordnet","1995","Eingemessen","7","POINT (2685895.5 1251578)"
"24","SW-624","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-624","Strassenbaum","0","nicht zugeordnet","2003","Eingemessen","5","POINT (2685867.5 1251587.9)"
"27","SW-1138","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-1138","Strassenbaum","0","nicht zugeordnet","2003","Eingemessen","5","POINT (2685857.5 1251591.5)"
"30","SW-626","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-626","Strassenbaum","0","nicht zugeordnet","","Eingemessen","14","POINT (2685848 1251594.9)"
"33","SW-1241","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr. 269","Acer","platanoides","Acer platanoides 'Eurostar'","Spitz-Ahorn","SW-1241","Strassenbaum","0","nicht zugeordnet","2006","Eingemessen","5","POINT (2685838.8 1251598)"
"36","AR-2952","Parkbaum","Albisrieden","GZ Bachwiesen","Salix","alba","Salix alba","Weiss-Weide, Silber-Weide","AR-2952","Grünanlage","0","nicht zugeordnet","2021","Bildschirmeingabe","8","POINT (2679088.2 1248229.2)"
"39","SW-4456","Parkbaum","Schwamendingen-Mitte","Herzogenmühlestr.","Prunus","avium","Prunus avium cv.","Süss-Kirsche-Obstgehölz, Sorte unbekannt","SW-4456","Grünanlage","6","Obstbäume","1950","Eingemessen","12","POINT (2685606.5 1251149.2)"
"42","SW-9799","Parkbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-9799","Grünanlage","0","nicht zugeordnet","","Eingemessen","8","POINT (2687096 1251114.1)"
"45","SW-9800","Parkbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","campestre","Acer campestre","Feld-Ahorn, Hecken-Ahorn","SW-9800","Grünanlage","0","nicht zugeordnet","","Eingemessen","9","POINT (2687100 1251117.4)"
"48","SW-942","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-942","Strassenbaum (A)","0","nicht zugeordnet","1978","Eingemessen","7","POINT (2687112.8 1251112)"
"51","SW-941","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-941","Strassenbaum (A)","0","nicht zugeordnet","1978","Eingemessen","8","POINT (2687122 1251112.4)"
